customer_id,first_name,last_name,state,first_touch,signup_channel_category,plan,signup_channel,campaign_id,signup_date
c1,Yetta,Richardson,NJ,social,Paid,gold,paid search,CAM030,2019-01-01
c10,Paul,Pulliam,NJ,social,Paid,gold,paid search,CAM030,2019-01-05
c100,Jennifer,Jackson,ND,social,Organic,silver,Referral,CAM018,2019-01-27
c1000,Bradley,Patino,NJ,social,Organic,silver,Direct,CAM031,2020-04-29
c10000,Brian,Pugh,IA,referral,Organic,silver,Direct,unknown,2021-02-03
c10001,Mary,Hull,NY,social,Organic,silver,Direct,CAM030,2021-02-04
c10002,James,Coverdale,NJ,marketplace,Paid,gold,paid social,CAM004,2021-02-04
c10003,Daniel,Cartwright,WA,social,Organic,silver,Organic Search,CAM018,2021-02-04
c10004,Amber,Cook,NJ,referral,Organic,silver,Direct,CAM018,2021-02-04
c10005,Barbara,Webster,ME,social,Organic,silver,Organic Search,CAM018,2021-02-05
c10006,Randy,Kirkpatrick,NJ,direct,Organic,silver,Direct,CAM030,2021-02-05
c10007,Justin,Zepeda,NC,referral,Paid,bronze,paid search,CAM002,2021-02-05
c10008,Michael,Mitchell,NJ,social,Organic,silver,Direct,,2021-02-05
c10009,Quintin,Wilson,NJ,referral,Paid,bronze,paid search,CAM031,2021-02-05
c1001,Xavier,Dews,DC,direct,Organic,silver,Organic Search,CAM018,2020-04-29
c10010,Gail,Moore,NJ,social,Organic,silver,provider partner,CAM020,2021-02-05
c10011,Phillip,Miller,NJ,social,Organic,silver,Direct,CAM004,2021-02-08
c10012,Barbara,Johnson,IA,social,Paid,gold,paid search,CAM031,2021-02-08
c10013,Cecilia,Welch,NY,referral,Paid,bronze,paid search,CAM002,2021-02-08
c10014,Amy,James,ND,social,Paid,silver,paid search,CAM020,2021-02-08
c10015,Frances,Davis,NJ,social,Paid,silver,paid search,unknown,2021-02-08
c10016,Jeanette,Lavole,NJ,marketplace,Organic,silver,Direct,unknown,2021-02-08
c10017,Robert,Hulsey,NJ,social,Organic,silver,Organic Search,unknown,2021-02-06
c10018,Harriet,Gamble,NY,referral,Paid,gold,mobile app,unknown,2021-02-06
c10019,Adrian,Phillips,KS,referral,Organic,silver,Organic Search,unknown,2021-02-06
c1002,Andrew,Kirtland,NJ,social,Paid,silver,paid search,unknown,2020-04-29
c10020,Mike,Mcnay,ND,referral,Organic,silver,Direct,unknown,2021-02-06
c10021,Darryl,Johnson,NJ,referral,Organic,silver,Referral,unknown,2021-02-06
c10022,Mitchel,Scott,SC,referral,Organic,silver,Direct,unknown,2021-02-06
c10023,Earnestine,Carter,NJ,referral,Organic,silver,Direct,CAM018,2021-02-07
c10024,Kevin,Teeter,IA,social,Paid,silver,paid search,CAM031,2021-02-07
c10025,Ralph,Johnson,NJ,social,Paid,silver,paid search,CAM031,2021-02-07
c10026,Dana,Nelson,OK,social,Organic,silver,Direct,CAM006,2021-02-07
c10027,Kelly,Dixon,NJ,social,Paid,silver,paid search,CAM020,2021-02-07
c10028,Louis,Keiser,NC,social,Organic,silver,Direct,CAM030,2021-02-09
